##############################################################################
################################### HSK 1 ####################################
##############################################################################

# 1. .. (115)
# (1)
身体,           shēntǐ,         body
公共汽车,       gōnggōngqìchē,  bus
报纸,           bàozhǐ,         newspaper

# (6)
门,             mén,            door
题,             tí,             matter; question
课,             kè,             class
姓,             xìng,           family name; last name; surname; name
问题,           wèntí,          question; problem
事情,           shìqíng,        matters; matter
考试,           kǎoshì,         exam
票,             piào,           ticket
意思,           yìsi,           meaning; funny
颜色,           yánsè,          colour

# 2. .. (78)
# (1)
欢迎,           huānyíng,       welcome; reception; greeting; compliment

# (3)
问,             wèn,            ask
走,             zǒu,            walk; go; move; run
进,             jìn,            enter; go in; come into
出,             chū,            come out; go out; out; exit
跑步,           pǎobù,          running; jogging
跑,             pǎo,            run; jog
到,             dào,            go to; reach; arrive
穿,             chuān,          wear; put on
洗,             xǐ,             wash
给,             gěi,            give; grant; allow; let; supply
找,             zhǎo,           search; look for; seek
懂,             dǒng,           understand
笑,             xiào,           laugh; smile; laughter
回答,           huídá,          answer; reply
告诉,           gàosu,          tell; inform
准备,           zhǔnbèi,        prepare; ready; plan
开始,           kāishǐ,         start; begin
介绍,           jièshào,        introduce; introduction; present; presentation
帮助,           bāngzhù,        help; assist; support; aid
玩,             wán,            play; have fun; enjoy
送,             sòng,           send; deliver
等,             děng,           wait
让,             ràng,           offer; let; allow
起床,           qǐchuáng,       get up
唱,             chàng,          sing; singing
唱歌,           chànggē,        sing a song; sing; singing
跳舞,           tiàowǔ,         dance; dancing
旅游,           lǚyóu,          travel; tourism; trip; tour
上班,           shàngbān,       go to work; start work; be on duty
下班,           xiàbān,         after work; off duty
生病,           shēngbìng,      get ill; be ill; be sick; sick; ill
休息,           xiūxí,          rest; break; halt
运动,           yùndòng,        do sports; sports
游泳,           yóuyǒng,        go swimming; swim; bathe
踢足球,         tī zúqiú,       play football
足球,           zúqiú,          football
打蓝球,         dǎ lánqiú,      play basketball; basketball
完,             wán,            complete; finish

# (4)
觉得,           juéde,          feel; seem; think
知道,           zhīdào,         know
希望,           xīwàng,         hope

# (5)
可以,           kěyǐ,           be possible; can
要,             yào,            want; must; wish
可能,           kěnéng,         may; maybe; possible; possibility

# 3. ..
高,             gāo,            high; tall
红,             hóng,           red
白,             bái,            white
黑,             hēi,            black
忙,             máng,           busy
快,             kuài,           fast
慢,             màn,            slow
远,             yuǎn,           far away; far
近,             jìn,            nearby; close; near
好吃,           hǎochī,         delicious; tasty
累,             lèi,            tired
长,             cháng,          long; grow
新,             xīn,            new
贵,             guì,            expensive
便宜,           piányi,         cheap
晴,             qíng,           clear; fine
阴,             yīn,            hidden; negative; secret
错,             cuò,            mistake; wrong
快乐,           kuàilè,         cheerful; happy

# 4. ..
您,             nín,            you
它,             tā,             it
大家,           dàjiā,          everyone; everybody
每,             měi,            each; every
为什么,         wèi shénme,     why

# 5. ..
两,             liǎng,          two; 2
百,             bǎi,            hundred; 100
千,             qiān,           thousand; 1000
第一,           dì-yī,          first

# 6. ..
次,             cì,             times
公斤,           gōngjīn,        kilogram; kilo; kg
元,             yuán,           Chinese monetary unit; yuan
件,             jiàn,           measure word for clothes; piece; pieces; clothes
张,             zhāng,          measure word for paper; piece of paper; paper

# 7. ..
别,             bié,            other; no
非常,           fēicháng,       extremely; very
也,             yě,             also; too
还,             hái,            in addition; also
最,             zuì,            most
真,             zhēn,           really; true; real
正在,           zhèngzài,       in the process of; while
已经,           yǐjīng,         already
一起,           yìqǐ,           together
再,             zài,            again
就,             jiù,            concerning; on

# 8. ..
因为,           yīnwèi,         because
所以,           suǒyǐ,          therefore; consequently; so
但是,           dànshì,         however; but

# 9. ..
从,             cóng,           from
对,             duì,            correct; right
比,             bǐ,             comparison particle; than
向,             xiàng,          direction; opposite; towards; to
离,             lí,             distant; away; leave
距,             jù,             distance

# 10. ..
吧,             ba,             rhetoric interrogative particle; question particle
得,             de,             possibility particle; must; get: gain; obtain
着,             zhe,            present continuum particle (-ing); present continuum particle; -ing
过,             guò,            past tense particle (-ed); past tense particle; -ed; pass
##############################################################################
################################### Extra ####################################
##############################################################################

有意思,         yǒu yìsi,       interesting
面包,           miànbāo,        bread
谈话,           tánhuà,         talk
谦虚,           qiānxū,         humble
