11,	等,			děng,				and so on; etc.
11,	低,			dī,				low; droop; hang down
11,	地,			dì,				the earth; land; field; ground
11,	地方,			dìfang,				place; space; part; respect
11,	第(第一),		dì (dìyī),				used to form ordinal numbers
11,	弟弟,			dìdi,				younger brother
11,	点,			diǎn,				dot, point; dot stroke
11,	点,			diǎn,				a little; point
11,	点,			diǎn,				put a dot; count; select; light
11,	点心,			diǎnxin,			pastry; light refreshments
11,	点钟,			diǎnzhōng,			o'clock
11,	电,			diàn,				electricity
11,	电车,			diànchē,			tram; trolleybus
11,	电灯,			diàndēng,			electric light; electric lamp
11,	电话,			diànhuà,			telephone; phone; phone call
11,	电视,			diànshì,			television; TV
11,	电影,			diànyǐng,			film; movie
11,	掉,			diào,				fall; drop; lose; reduce; turn
11,	丢,			diū,				lose; throw; put aside
11,	东,			dōng,				east
11,	东边,			dōngbiān,			east
11,	东西,			dōngxi,				thing; creature
11,	冬,			dōng,				winter
11,	冬天,			dōngtiān,			winter
11,	懂,			dǒng,				understand; know
11,	动,			dòng,				move; stir; use
11,	动物,			dòngwù,				animal
11,	都,			dōu,				all; both; even; already
11,	读,			dú,				read; read aloud
11,	短,			duǎn,				short; brief
11,	锻炼,			duànliàn,			take exercise; physical training
11,	段,			duàn,				segment; period; paragraph
11,	对,			duì,				towards; treat; compare; aim at
11,	对,			duì,				right; correct
11,	对不起,			duìbuqǐ,			sorry; excuse me; let down
11,	顿,			dùn,				used for meals or scolding
11,	多,			duō,				much; many; more
11,	多,			duō,				how; what
11,	多,			duō,				a little or few more than
11,	多么,			duōme,				how; what
11,	多少,			duōshao,			how many; how much
11,	饿,			è,				hungry; starve
11,	而且,			érqiě,				moreover; in addition; but also
11,	儿子,			érzi,				son
11,	二,			èr,				two
11,	发,			fā,				send out; discharge; issue; rise
11,	发烧,			fā shāo,			have a fever; have a temperature
11,	发生,			fāshēng,			happen; occur; take place
11,	发现,			fāxiàn,				discover; find; discovery
11,	发展,			fāzhǎn,				develop; recruit; development
11,	法语(法文),		fǎyǔ(fǎwén),				French; French language
11,	翻,			fān,				turn over; rummage; capsize
11,	翻译,			fānyì,				translate; translation; translator
11,	反对,			fǎnduì,				oppose; fight; be against
11,	饭,			fàn,				meal; cooked rice or other cereals
11,	饭店,			fàndiàn,			restaurant; hotel
11,	方便,			fāngbiàn,			convenient; make convenient
11,	方法,			fāngfǎ,				method; way; means
11,	方面,			fāngmiàn,			respect; aspect; field; side
11,	方向,			fāngxiàng,			direction; orientation
11,	房间,			fángjiān,			room
11,	访问,			fǎngwèn,			visit; call on
11,	放,			fàng,				let go; put; lay; have a vacation
11,	放假,			fàng jià,			have a holiday or vacation
11,	非常,			fēicháng,			very; highly; extraordinary; unusual
11,	飞,			fēi,				fly; flit; hover; flutter
11,	飞机,			fēijī,				aircraft; airplane; plane
11,	分,			fēn,				divide; distribute; distinguish
11,	分,			fēn,				minute; point; mark; a money unit
11,	…分之…,			… fēnzhī …,			for expression of a fraction number
11,	分钟,			fēnzhōng,			minute
11,	丰富,			fēngfù,				rich; abundant; plentiful; enrich
11,	封,			fēng,				for letters
11,	风,			fēng,				wind
11,	夫人,			fūrén,				Lady; Madame; Mrs
11,	服务,			fúwù,				serve; service
11,	服务员,			fúwùyuán,			waiter; waitress; attendant
11,	辅导,			fǔdǎo,				coach; teach; tutor
11,	复习,			fùxí,				revise; review
11,	复杂,			fùzá,				complex; complicated
11,	父亲,			fùqin,				father
11,	负责,			fùzé,				be responsible for; conscientious
11,	附近,			fùjìn,				nearby; neighboring area; vicinity
11,	该,			gāi,				should; ought to; owe; sb.'s turn
11,	改,			gǎi,				change; transform; rectify; correct
11,	改变,			gǎibiàn,			change; alter; transform
11,	干净,			gānjìng,			clean; neat; tidy
11,	感到,			gǎndào,				feel; sense; think
11,	感冒,			gǎnmào,				common cold
11,	感谢,			gǎnxiè,				thank; be grateful
11,	敢,			gǎn,				dare
11,	干,			gàn,				do; work
11,	干部,			gànbù,				cadre
11,	刚,			gāng,				just; barely; only just
11,	刚才,			gāngcái,			a moment ago; just now
11,	钢笔,			gāngbǐ,				pen
11,	高,			gāo,				tall; high; of a high degree
11,	高兴,			gāoxìng,			glad; cheerful; be happy to
11,	搞,			gǎo,				do; cause; make; get hold of
11,	告诉,			gàosù,				tell; let know
11,	哥哥,			gēge,				elder brother
11,	歌,			gē,				song
11,	个,			gè,				(a general measure word)
11,	各,			gè,				each; every; various; different
11,	各种,			gèzhǒng,			all kinds of
11,	给,			gěi,				give; grant
11,	根,			gēn,				root; foot; base; origin
11,	跟,			gēn,				with; and; follow
11,	更,			gèng,				more; still more, even more
11,	工厂,			gōngchǎng,			factory; mill; plant; works
11,	工人,			gōngrén,			worker; workman
11,	工业,			gōngyè,				industry
11,	工作,			gōngzuò,			work; job
11,	公共汽车,		gōnggòng qìchē,			bus (for public transit)
11,	公斤,			gōngjīn,			kilogram
11,	公里,			gōnglǐ,				kilometer
11,	公园,			gōngyuán,			park
11,	够,			gòu,				be enough; be up to; reach; quite
11,	姑娘,			gūniang,			girl; daughter
11,	故事,			gùshi,				story; tale
11,	刮,			guā,				(刮) scrape; shave; smear with; (颳) blow
11,	挂,			guà,				hang; call up; ring off
11,	关,			guān,				shut; lock up; turn off; close down
11,	关系,			guānxì,				relation; relationship
11,	关心,			guānxīn,			be concerned with; care for
11,	馆,			guǎn,				an indoor place for activities
11,	广播,			guǎngbō,			broadcast; be on the air
11,	贵,			guì,				expensive; costly; dear
11,	贵姓,			guì xìng,			your honorable family name
11,	国,			guó,				country; state; nation
11,	国家,			guójiā,				country; state; nation
11,	过,			guò,				pass; spend time; go through
11,	过,			guo,				(indicate an action in the past)
11,	过来,			guò lai,			come over; come up
11,	过去,			guòqù,				the past; former times
11,	过去,			guò qu,				go over; pass by
11,	哈哈,			hāhā,				ha-ha (the sound of laughing)
11,	还,			hái,				still; yet; even more; also; fairly
11,	还是,			háishì,				still; nevertheless; had better; or
11,	孩子,			háizi,				child; children; son or daughter
11,	海,			hǎi,				sea
11,	寒假,			hánjià,				winter vacation
11,	喊,			hǎn,				shout; cry out; yell; call sb.
11,	汉语,			hànyǔ,				Chinese; the Chinese language
11,	汉字,			hànzì,				Chinese character
11,	好,			hǎo,				good; nice; be in good health
11,	好,			hǎo,				so as to; very; quite; so
11,	好吃,			hǎochī,				delicious; tasty; good to eat
11,	好处,			hǎochu,				good; advantage; benefit; gain
11,	好看,			hǎokàn,				good-looking; nice; pretty
11,	好像,			hǎoxiàng,			seem; look like; be like; as if
11,	号,			hào,				number; date
11,	喝,			hē,				drink
11,	和,			hé,				and; with; to
11,	合适,			héshì,				appropriate; right; suitable
11,	河,			hé,				river
11,	黑,			hēi,				black; dark
11,	黑板,			hēibǎn,				blackboard
11,	很,			hěn,				very; quite; awfully
11,	红,			hóng,				red; symbol of success
11,	后,			hòu,				back; rear; behind
11,	后边,			hòubian,			back; rear; behind; latter
11,	忽然,			hūrán,				suddenly; all of a sudden
11,	湖,			hú,				lake
11,	互相,			hùxiāng,			each other; mutual
11,	花,			huā,				flower; blossom; blurred; dim
11,	花,			huā,				spend; expend; cost
11,	画,			huà,				draw; paint
11,	画儿,			huàr,				drawing; picture; painting
11,	化学,			huàxué,				chemistry
11,	话,			huà,				word; talk; speech; remark
11,	坏,			huài,				bad; go bad; spoil; ruin
11,	欢迎,			huānyíng,			welcome; greet; favorably receive
11,	还,			huán,				give back; return; give sth. in return
11,	换,			huàn,				exchange; barter; trade; change
11,	黄,			huáng,				yellow; sallow; fall through
11,	回,			huí,				return; turn around; answer; reply
11,	回,			huí,				(for times of an event or action)
11,	回答,			huídá,				answer; reply; response
